步长,wl,模型序号,retention,擦写次数,bake,frequency,prediction,base_value,shap_step,shap_pec,shap_retention,shap_wordline
11,115,2,6,10000,0,2792,2662.429824089742,1678.496268562245,1088.3116353625712,-116.68303317814735,-1.6344841563168018,13.939437499389978
12,115,2,6,10000,0,2526,2642.0282207408227,1678.496268562245,925.0935573358322,-24.004564214198332,13.77157361524959,48.6713854416943
13,115,2,6,10000,0,2597,2284.41930160987,1678.496268562245,365.086604616298,124.7668139091806,37.7228936216077,78.3467209005389
14,115,2,6,10000,0,1575,1710.4929084089733,1678.496268562245,-148.68621985018495,84.86278372617708,26.755885285842954,69.06419068489336
15,115,2,6,10000,0,1131,1045.8422943835258,1678.496268562245,-715.5434269522049,37.44390748514067,16.506300939106367,28.939244349238464
16,115,2,6,10000,0,771,489.7212153338578,1678.496268562245,-1152.6830831905922,-28.689644718574392,-5.900798544165916,-1.5015267750548533
17,115,2,6,10000,0,370,370.22339130199725,1678.496268562245,-1302.0537489692556,-42.30683916998427,29.45237012940131,6.635340749590761
19,115,2,6,10000,0,56,195.65527311382334,1678.496268562245,-1440.5102555183987,-85.30326129370968,31.260282492641434,11.712238871045363
20,115,2,6,10000,0,25,185.25358310012348,1678.496268562245,-1447.2618782974127,-87.10129725615701,29.603504829574835,11.516985261873405
21,115,2,6,10000,0,5,185.25358310012348,1678.496268562245,-1447.2618782974127,-87.10129725615701,29.603504829574835,11.516985261873405
1,115,2,5,10000,0,1,41.585695485340466,1678.496268562245,-1544.3666114173893,-107.76909268732418,10.56979832221098,4.655332705597998
2,115,2,5,10000,0,3,41.585695485340466,1678.496268562245,-1544.3666114173893,-107.76909268732418,10.56979832221098,4.655332705597998
3,115,2,5,10000,0,14,46.94719805568616,1678.496268562245,-1541.2548948371214,-106.81293376285146,10.56979832221098,5.948959771203181
4,115,2,5,10000,0,47,95.93426064741107,1678.496268562245,-1498.2186697166508,-97.65565703257253,10.778894021937587,2.5334248124517202
5,115,2,5,10000,0,194,184.57704667273129,1678.496268562245,-1353.2349556625227,-141.95375786984914,12.36325604165707,-11.09376439879891
6,115,2,5,10000,0,462,364.3238891750202,1678.496268562245,-1022.7826690126292,-247.8665832637553,11.136955736031858,-54.66008284687224
7,115,2,5,10000,0,898,1006.6352636379514,1678.496268562245,-410.97332844235495,-238.8459764942479,32.01094352027061,-54.052643507961335
8,115,2,5,10000,0,1540,1876.7969570754224,1678.496268562245,413.9518836629028,-212.73809479133857,17.961731590122486,-20.87483194850924
9,115,2,5,10000,0,2390,2290.2546348489936,1678.496268562245,839.089190036485,-299.1154556595477,56.82830354045557,14.956328369356022
10,115,2,5,10000,0,2713,2649.1679427523795,1678.496268562245,1154.595774661644,-195.43305456424633,13.521938512768555,-2.0129844200319233
11,115,2,5,10000,0,2971,2649.167942752379,1678.496268562245,1078.1349584237594,-133.93220645625803,10.015348754752807,16.453573467879814
12,115,2,5,10000,0,2458,2622.31315764103,1678.496268562245,892.4313092212894,-2.6691754644083883,2.935835350588067,51.11891997131587
13,115,2,5,10000,0,2238,2150.380521781748,1678.496268562245,296.84479754280903,121.95400719822011,-8.692403602000114,61.77785208047382
14,115,2,5,10000,0,1479,1656.3817101436084,1678.496268562245,-184.52150851957657,89.87150210779883,12.74710646633253,59.78834152680873
15,115,2,5,10000,0,1070,1043.897741510973,1678.496268562245,-731.3744497658504,45.44009379573271,22.501787975342356,28.834040943503247
16,115,2,5,10000,0,621,530.2546346011304,1678.496268562245,-1148.8752788638367,-22.288553202783948,19.733515632471406,3.188682473034728
17,115,2,5,10000,0,306,254.11972454893748,1678.496268562245,-1355.2014432174776,-73.12406816722012,-1.8688142689391984,5.817781640329287
19,115,2,5,10000,0,47,79.55160636076334,1678.496268562245,-1499.550216338005,-104.28406473780439,-5.953168477082891,10.842787351410571
20,115,2,5,10000,0,16,69.14991634706394,1678.496268562245,-1506.3018391170185,-106.08210070025171,-7.609946140149492,10.647533742238624
21,115,2,5,10000,0,7,69.14991634706394,1678.496268562245,-1506.3018391170185,-106.08210070025171,-7.609946140149492,10.647533742238624
1,115,2,4,10000,0,1,41.585695485340466,1678.496268562245,-1545.3006077346267,-101.14979675652413,5.587552491977151,3.952278922269283
2,115,2,4,10000,0,1,41.585695485340466,1678.496268562245,-1545.3006077346267,-101.14979675652413,5.587552491977151,3.952278922269283
