model_index,curve_family,label,budget,method,run_kind,task_id,WL,Retention,PEC,test_r2,test_rmse,test_mae,abs_peak_step_error,tail_rmse_pct_peak
3,P2,P2 / M3,5,gaussian,sample,6839,207,4,8000,0.965878791831738,173.95132160769504,105.60307504192804,0.0,0.2714446039738923
3,P2,P2 / M3,5,gaussian,sample,6878,208,5,3000,0.9941245553570943,72.2558185157311,43.49361461717778,0.0,0.15605695461396984
3,P2,P2 / M3,5,gaussian,sample,6970,211,4,7000,0.9763945876684569,152.63759581662336,100.66836953583382,0.0,0.3661971058198846
3,P2,P2 / M3,5,gaussian,sample,6983,211,5,9000,0.9910796838214326,85.766331463247,49.54195830533153,1.0,0.2964078005672305
3,P2,P2 / M3,5,gaussian,sample,6987,211,6,2000,0.9808613228447015,139.60694543084915,74.14096589549457,1.0,0.14935577336032388
3,P2,P2 / M3,5,gaussian,sample,7035,213,4,6000,0.9897893939986637,100.41107942172876,72.67588597519232,1.0,0.5032988632601757
3,P2,P2 / M3,5,gaussian,sample,7063,214,4,1000,0.9763005122877053,155.7137798213693,86.72338528766957,0.0,0.28155768248151924
3,P2,P2 / M3,5,gaussian,sample,7090,214,6,6000,0.979930916279552,137.9245911267549,84.73123640897204,0.0,0.40778127762849364
3,P2,P2 / M3,5,gaussian,sample,7141,216,5,2000,0.9815933353126896,133.4886385471243,85.8273907445664,0.0,0.11295461188797436
3,P2,P2 / M3,5,gaussian,sample,7214,218,5,9000,0.991996094748519,81.73446120644108,54.7152328720749,1.0,0.4447614960615775
3,P2,P2 / M3,5,gaussian,sample,7257,219,6,8000,0.9800970812552838,137.28651562912387,83.81187608198658,1.0,0.9332772394571159
3,P2,P2 / M3,5,gaussian,sample,7309,221,5,5000,0.9896653317481311,96.21983319745297,61.157816738046904,1.0,0.2966596344883918
3,P2,P2 / M3,5,gaussian,sample,7333,222,4,7000,0.9921824877442692,88.24858093340438,60.31518022316777,0.0,0.6196900072162355
3,P2,P2 / M3,5,gaussian,sample,7411,224,5,8000,0.9989601351488442,29.959801573588134,21.440631025235213,0.0,0.351285647729206
3,P2,P2 / M3,5,gaussian,sample,7422,224,6,8000,0.9715724287631118,163.52145080051997,107.16167467245825,1.0,0.8831508089453831
3,P2,P2 / M3,5,gaussian,sample,7439,225,5,3000,0.9910878217653001,94.24464256118048,64.85639059425438,0.0,0.20679871833239785
3,P2,P2 / M3,5,gaussian,sample,7451,225,6,4000,0.9443707836585523,247.7482672965648,160.48241460353594,1.0,0.5532492399358457
